HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
18223.973148302903,22468.028640821525,22074.64419960637,21901.489910314056,21041.062211461347,11766.05979980849,
18307.506450006942,22567.92191938896,22174.323212123323,22001.45397209836,21137.177816767246,11859.839751961985,
18399.75309130717,22667.840113418293,22260.15071517221,22096.918388985137,21237.15943901424,11953.4920841472,
18493.60458131475,22767.78223569978,22337.835563839206,22190.473608270742,21337.06922916225,12046.999888419086,
18586.11190313337,22867.72230506597,22422.574816650987,22283.779924310344,21437.069097294356,12140.521231206947,
18672.210813143065,22967.646955355947,22520.879291260106,22383.08983999222,21534.110396175605,12234.137119796786,
18756.06180802456,23067.552486997047,22620.454446734093,22482.42475871969,21629.974200968405,12327.856624749318,
18838.35334048513,23167.44576230627,22720.393509305395,22580.926900025283,21724.629645959947,12421.636592453588,
18919.846188839838,23267.337565697577,22820.39084736048,22678.39458967561,21818.481049539685,12515.423558747925,
19002.07356925825,23367.23696546867,22920.33753890405,22777.23454963168,21913.220149038316,12609.173819786014,
19084.794717778906,23467.14990089187,23020.21141518842,22876.826504320117,22008.58128419904,12702.854692990251,
19167.02767809224,23567.079702387287,23120.157464364456,22976.119747838373,22103.51133054894,12796.44027000192,
19249.40001274615,23667.027513718658,23220.08615310475,23075.792513352495,22198.723009446636,12889.90914947705,
19329.6922546255,23766.99251846653,23320.033997600563,23172.78429583566,22291.692680039614,12983.24414310462,
19410.022853196413,23866.972302726233,23419.985744350477,23270.446040763065,22384.88522224163,13076.431963358928,
19490.913149789172,23966.963279195752,23519.977490582445,23369.507226885213,22478.918612678382,13169.462883932105,
19571.178810754172,24066.961113288984,23619.92254593274,23468.16946168322,22572.411123963167,13262.330365124168,
19649.20419448827,24166.961107949046,23719.40623660763,23563.078661494965,22663.35459079288,13355.030651364652,
19728.09224720276,24266.95852126432,23819.11739200442,23660.581810548163,22755.585376288567,13447.562355382926,
19807.091856264375,24366.94880552648,23918.853652826394,23758.881162101326,22848.153168470773,13539.926027948964,
19886.130508185066,24466.9277599592,24018.59845691291,23857.745496873446,22940.963292075907,13632.123647987613,
19963.911486763165,24566.892336134388,24118.00750504234,23955.045576787146,23032.413873379115,13724.165201300328,
20041.867689828232,24666.841554220962,24217.470507147395,24053.155916764776,23124.246525387058,13816.070848439818,
20119.447066723504,24766.776131772494,24316.814774183655,24151.008257489444,23215.745246747785,13907.864049907683,
20196.174968791456,24866.697930462593,24415.85503078991,24247.566648353775,23306.275701740233,13999.568371685857,
20273.24883602483,24966.609314823058,24515.024575432515,24345.07423201211,23397.32849843897,14091.205116138268,
20349.001717863703,25066.51267319897,24613.660920777158,24439.99150480134,23486.743900007285,14079.740346278708,
20424.935265725813,25166.410136752944,24712.376324755747,24535.490408301663,23576.439249447034,14068.275576419148,
20501.4627031726,25266.303458717495,24811.338203366788,24632.365404079985,23666.930727253854,14056.810806559588,
20576.627326429876,25366.193998453007,24909.704605865823,24726.22668364092,23755.66798544565,14045.346036700028,
20656.576644633256,25466.083974261852,25009.611220967643,24824.930844751256,23848.98140345533,14033.881266840468,
20735.349455266292,25565.92707194281,25109.29537246688,24920.164001726574,23940.50100863574,14022.416496980908,
20814.263740681214,25665.776289688434,25209.012523551268,25016.63048227155,24032.442610537757,14010.951727121348,
20892.697481342046,25765.662751139284,25308.61107084985,25113.949053165456,24124.32336365783,13999.486957261788,
20971.341529176334,25865.588987064108,25408.26378435239,25212.621458024714,24216.806244778687,13988.022187402228,
21048.409387548345,25965.538630697803,25507.431149442866,25308.692863296266,24307.42353257452,14079.931315274947,
21124.98858241948,26065.497792873382,25606.413502979227,25403.59543305817,24397.396280086123,14068.466545415387,
21203.06398618746,26165.45854848787,25705.911933402094,25501.565300822804,24489.25706038946,14057.001775555827,
21291.209631509046,26265.419178109234,25801.97732047538,25601.36540180505,24587.874580395182,14045.537005696267,
21381.124239276276,26365.37084513753,25894.866071117747,25701.255924071724,24687.0819638118,14034.072235836707,
21470.747738958118,26465.346301224385,25988.37913643392,25799.707680944557,24786.45548092612,14022.607465977148,
21554.801342506224,26565.343365627235,26087.87935445177,25898.659796984277,24882.278041141468,14115.12754707321,
21635.471557782897,26665.34080289493,26187.859220813178,25995.26221531635,24975.37674508463,14208.008896558742,
21717.187732590464,26765.324597963365,26287.848105378554,26094.706669474897,25070.079715740947,14301.147473161605,
21796.781868679653,26865.295574024603,26387.700377333545,26190.42249626531,25162.25813195682,14394.427928531039,
21877.681570098415,26965.260777465825,26487.692517177806,26288.554814903913,25255.952714471532,14487.761190272322,
21959.347389444847,27065.226824803496,26587.683823406314,26387.818325092463,25350.53787202649,14581.087037410141,
